Iteration,Training_Error
1347,0.03063909
1348,0.06124358
1349,0.05995941
1350,0.06304533
1351,0.09808525
1352,0.08336531
1353,0.04307427
1354,0.03409424
1355,0.04345612
1356,0.02850398
1357,0.11799103
1358,0.05811338
1359,0.04933974
1360,0.05176643
1361,0.03621516
1362,0.05907301
1363,0.14142853
1364,0.16802445
1365,0.04484356
1366,0.89979382
1367,0.91199516
1368,0.82316545
1369,0.03818861
1370,0.05424810
1371,0.03332996
1372,0.06096243
1373,0.05966098
1374,0.06241430
1375,0.09589563
1376,0.08170094
1377,0.04310527
1378,0.03411560
1379,0.04525308
1380,0.02873675
1381,0.11518712
1382,0.05697866
1383,0.04987885
1384,0.05133229
1385,0.03579505
1386,0.05816123
1387,0.13637828
1388,0.16259196
1389,0.04397430
1390,0.86889938
1391,0.88088359
1392,0.76387400
1393,0.04518353
1394,0.06330678
1395,0.03773899
1396,0.06125005
1397,0.05999601
1398,0.06230150
1399,0.09395325
1400,0.08023606
1401,0.04357805
1402,0.03454608
1403,0.04814407
1404,0.02931470
1405,0.11271268
1406,0.05600619
1407,0.05115296
1408,0.05133063
1409,0.03567979
1410,0.05737998
1411,0.13156759
1412,0.15751766
1413,0.04326144
1414,0.82367820
1415,0.83341483
1416,0.67625509
1417,0.05643800
1418,0.07715738
1419,0.04496930
1420,0.06247646
1421,0.06125196
1422,0.06302127
1423,0.09235226
1424,0.07906474
1425,0.04468436
1426,0.03558972
1427,0.05264341
1428,0.03040358
1429,0.11065659
1430,0.05524905
1431,0.05354387
1432,0.05198523
1433,0.03603312
1434,0.05676696
1435,0.12700993
1436,0.15281427
1437,0.04275607
1438,0.75677684
1439,0.75941936
1440,0.55264162
1441,0.07349037
1442,0.09691002
1443,0.05605087
1444,0.06512103
1445,0.06360348
1446,0.06490834
1447,0.09120145
1448,0.07831794
1449,0.04653604
1450,0.03737874
1451,0.05902654
1452,0.03209670
1453,0.10906877
1454,0.05473224
1455,0.05738329
1456,0.05349927
1457,0.03702695
1458,0.05633823
1459,0.12276165
1460,0.14847491
1461,0.04248302
1462,0.66314273
1463,0.65100907
1464,0.40757903
1465,0.09385133
1466,0.11918479
1467,0.06963213
1468,0.06913304
1469,0.06640934
1470,0.06770791
1471,0.09045201
1472,0.07802660
1473,0.04873764
1474,0.03950872
1475,0.06618080
1476,0.03404186
1477,0.10775680
1478,0.05434590
1479,0.06228014
1480,0.05566252
1481,0.03858036
1482,0.05601384
1483,0.11888901
1484,0.14437501
1485,0.04231463
1486,0.55239029
1487,0.52223667
1488,0.28726578
1489,0.10816431
1490,0.13444837
1491,0.08034660
1492,0.07293879
1493,0.06791122
1494,0.06999858
1495,0.08968718
1496,0.07787726
1497,0.05022393
1498,0.04086930
1499,0.07129770
1500,0.03535092
1501,0.10622840
1502,0.05384133
1503,0.06665713
1504,0.05759042
1505,0.04013578
1506,0.05560996
1507,0.11533310
1508,0.14018108
1509,0.04193602
1510,0.45058712
1511,0.40963738
1512,0.21644526
1513,0.11003889
1514,0.13691401
1515,0.08414106
1516,0.07459594
1517,0.06698968
1518,0.07048660
1519,0.08844486
1520,0.07740058
1521,0.05028870
1522,0.04079755
1523,0.07266821
1524,0.03551364
1525,0.10415118
1526,0.05303883
1527,0.06896883
1528,0.05852132
1529,0.04113257
1530,0.05502066
1531,0.11193797
1532,0.13563207
1533,0.04117074
1534,0.37481937
1535,0.33103385
1536,0.17937547
1537,0.10326145
1538,0.13039584
1539,0.08249911
1540,0.07391772
1541,0.06425574
1542,0.06931882
1543,0.08668281
1544,0.07644825
1545,0.04920765
1546,0.03968582
1547,0.07113931
1548,0.03482791
1549,0.10164688
1550,0.05196168
1551,0.06906940
1552,0.05847810
1553,0.04150002
1554,0.05429087
1555,0.10868088
1556,0.13088802
1557,0.04014228
1558,0.32235198
1559,0.27914288
1560,0.15799605
1561,0.09410386
1562,0.12097749
1563,0.07866461
1564,0.07188636
1565,0.06083189
1566,0.06729993
1567,0.08461223
1568,0.07514954
1569,0.04756771
1570,0.03817153
1571,0.06828347
1572,0.03378318
1573,0.09900362
1574,0.05074355
1575,0.06772717
1576,0.05783937
1577,0.04144507
1578,0.05349323
1579,0.10561878
1580,0.12625653
1581,0.03903387
1582,0.28458427
1583,0.24322394
1584,0.14356022
1585,0.08568614
1586,0.11186758
1587,0.07449938
1588,0.06933691
1589,0.05740488
1590,0.06501119
1591,0.08241845
1592,0.07366648
1593,0.04575322
1594,0.03661837
1595,0.06508778
1596,0.03266804
1597,0.09640216
1598,0.04948829
1599,0.06565691
1600,0.05689824
1601,0.04115197
1602,0.05266576
1603,0.10276391
1604,0.12190287
1605,0.03794498
1606,0.25565661
1607,0.21669538
1608,0.13257614
1609,0.07871744
1610,0.10397016
1611,0.07063634
1612,0.06669805
1613,0.05424438
1614,0.06272733
1615,0.08020830
1616,0.07211004
1617,0.04394280
1618,0.03516337
1619,0.06197485
1620,0.03159921
1621,0.09391140
1622,0.04824752
1623,0.06328029
1624,0.05580988
1625,0.04072399
1626,0.05182283
1627,0.10008863
1628,0.11786034
1629,0.03691027
1630,0.23247239
1631,0.19608901
1632,0.12361853
1633,0.07305800
1634,0.09729074
1635,0.06719364
1636,0.06415204
1637,0.05141695
1638,0.06055655
1639,0.07803773
1640,0.07054486
1641,0.04220964
1642,0.03384172
1643,0.05908802
1644,0.03061316
1645,0.09154816
1646,0.04704366
1647,0.06081748
1648,0.05465151
1649,0.04021439
1650,0.05097086
1651,0.09755772
1652,0.11410613
1653,0.03593722
1654,0.21335585
